0,['Population Trend']
1,"['Albania, Armenia, Azerbaijan, Belarus, Bhutan, Bosnia and Herzegovina, Bulgaria, Canada, China, Croatia,, Czech Republic, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, India, Iran,  Iraq, Israel, Italy, Jordan, Kazakhstan, North Korea, South Korea, Kyrgyzstan, Latvia, Libya, Lithuania, Macedonia, Mexico, Moldova, Mongolia, Montenegro, Myanmar, Nepal, Norway, Oman, Pakistan, Poland, Portugal, Romania, Russia, Saudi Arabia, Serbia, Slovakia, Slovenia, Spain, Sweden, Syria, Tajikistan, Turkey, Turkmenistan,  Ukraine, United Arab Emirates, United States, Uzbekistan, Yemen, Bangladesh, Afghanistan']"
2,"['Bangladesh, Bhutan, China,   India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Russia,, Thailand']"
3,"['Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Canada, China, Croatia,']"
