Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Red wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,Canis,,,"Crepuscular,Nocturnal,Carnivore,Terrestrial,Territorial,Cooperative breeder,Monogamy,Dominance hierarchy,Social,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'United States', 'Regions': 'North Carolina', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Forest', 'Shrubland', 'Anthropogenic biome', 'Wetlands '], 'Climate': ['Temperate']}","{'Lifestyle': 'Terrestrial, Territorial,', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Cooperative breeder,', 'Pregnancy duration': '60 to 62 days', 'Baby carrying': '1 to 12'}","{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Zebu,Highland Cattle,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Bovinae,,,,,,,starts with,"{'Geography': {'Regions': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Quagga,Plains Zebra,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,Equus,,Equus quagga quagga,20-40 yrs,250-300 kg,"Diurnal,Herbivore,Graminivore,Terrestrial,Cursorial,Precocial,Grazing,Viviparous,Polygyny,Social,Herding,Migrating,starts with,Recently Extinct","{'Geography': {'Biogeographical realms': 'Neotropical', 'Wwf biomes': 'Desert and Xeric Shrublands, Temperate grasslands'}, 'Biome': ['Grassland', 'Shrubland'], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Group name': 'zeal, crossing, dazzle, cohorts, herd', 'Lifestyle': 'Terrestrial, Cursorial, Precocial, Grazing, Viviparous', 'Seasonal behavior': 'Migrating'}","Herbivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round, birth peaks in December-January', 'Baby carrying': '1 foal', 'Female name': 'mare', 'Male name': 'stallion', 'Baby name': 'foal, colt'}",{'Population status': 'Extinct (EX)'}
California grizzly bear,Brown Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Fancy rat,Brown Rat,,Animalia,Chordata,Vertebrata,,Rodentia,Muroidea,Muridae,,,,,,,starts with,"{'Geography': {'Regions': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Mountain gorilla,Eastern Gorilla,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Hominidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'DR Congo, Rwanda, Uganda', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Endangered (EN)'}"
Western lowland gorilla,Western Gorilla,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Hominidae,,,,Gorilla,,,"Diurnal,Folivore,Herbivore,Terrestrial,Polygyny,Polygamy,Dominance hierarchy,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Equatorial Guinea, Angola, Cameroon, Central African Republic, Congo, Gabon', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}","Folivore,,Herbivore","{'Mating behavior': 'Polygyny,', 'Pregnancy duration': '9 months', 'Baby carrying': '1', 'Independent age': '3 to 4 years'}","{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Sumatran tiger,Tiger,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Indonesia', 'Regions': 'Sumatera', 'Biogeographical realms': 'Indomalayan'}, 'Biome': [], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Indian Elephant,Asian Elephant,,Animalia,Chordata,Vertebrata,,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus indicus,26-30 Thou,70 yrs,43 km/h,,"Diurnal,Nocturnal,Herbivore,Terrestrial,Precocial,Grazing,Browsing,Polygyny,Social,Herding,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'South Asia, Southeast Asia, East Asia', 'Countries': 'Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal,', 'Biogeographical realms': 'Sri Lanka, Thailand, Viet Nam', 'Wwf biomes': 'Indomalayan'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland'], 'Climate': ['Tropical', 'Temperate']}","{'Group name': 'herd, memory, parade', 'Lifestyle': 'Terrestrial, Precocial, Grazing, Browsing,', 'Seasonal behavior': 'Not a migrant,'}","Herbivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round', 'Pregnancy duration': '22 months', 'Baby carrying': '1 calf', 'Independent age': '2-4 years', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Kermode bear,American Black Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,,"Carnivore,Omnivore,Viviparous,Terrestrial,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Forest', 'Rainforest', 'Mountains'], 'Climate': []}","{'Lifestyle': 'Viviparous, Terrestrial'}","Carnivore,,Omnivore",{},{}
